like no cowboys the sun	like no employees the sun	False	0.211042	0.308668
like all employees the sun	like most punchers the sun	True	0.308668	0.311749
like all waiters the sun	like most employees the sun	False	1.0	0.845877
like all punchers the sun	like some women the sun	False	0.662774	0.662932
like most punchers the sun	like some punchers the sun	True	0.311749	0.404036
like all employees the sun	like some laborers the sun	True	0.308668	0.548109
like few widows the sun	like some widows the sun	True	0.356953	0.379714
like all employees the sun	like some widows the sun	False	0.308668	0.379714
like some salesmen the sun	like some employees the sun	True	0.374867	0.704641
like ten employees the sun	like some busboys the sun	False	1.0	0.482539
like few employees the sun	like few cowboys the sun	False	1.0	0.211042
like some ladies the sun	like some women the sun	True	0.350425	0.662932
like all women the sun	like some movers the sun	False	0.211042	0.463835
like all movers the sun	like all employees the sun	False	0.655592	0.308668
like all women the sun	like some workmen the sun	False	0.211042	0.458851
like all cowboys the sun	like all employees the sun	False	0.211042	0.308668
like all workmen the sun	like most employees the sun	False	0.791076	0.845877
like most movers the sun	like some movers the sun	True	0.395438	0.463835
like all cowboys the sun	like some women the sun	False	0.211042	0.662932
like all laborers the sun	like most employees the sun	False	1.0	0.845877
like all movers the sun	like some women the sun	False	0.655592	0.662932
like few maidens the sun	like some maidens the sun	True	0.294211	0.391602
like few cowboys the sun	like some employees the sun	True	0.211042	0.704641
like no employees the sun	like no punchers the sun	True	0.308668	0.662774
like few women the sun	like few wives the sun	False	1.0	0.267397
like ten women the sun	like some ladies the sun	False	1.0	0.350425
like no women the sun	like no mistresses the sun	True	0.211042	0.721304
like few waiters the sun	like some employees the sun	True	0.211042	0.704641
like no women the sun	like no maidens the sun	True	0.211042	0.52217
like few busboys the sun	like some employees the sun	True	0.211042	0.704641
like ten women the sun	like some wives the sun	False	1.0	0.437117
like most punchers the sun	like some employees the sun	True	0.311749	0.704641
like all whores the sun	like all women the sun	False	1.0	0.211042
like few women the sun	like few whores the sun	False	1.0	0.211042
like few women the sun	like some wives the sun	False	1.0	0.437117
like most housewives the sun	like some women the sun	True	0.378082	0.662932
like all housewives the sun	like some women the sun	True	0.96032	0.662932
like all women the sun	like some mistresses the sun	True	0.211042	0.449215
like all employees the sun	like all waiters the sun	True	0.308668	1.0
like most employees the sun	like some busboys the sun	False	0.845877	0.482539
like all employees the sun	like all salesmen the sun	True	0.308668	0.547595
like all women the sun	like some waiters the sun	False	0.211042	0.548109
like no laborers the sun	like no employees the sun	False	1.0	0.308668
like most widows the sun	like some widows the sun	True	0.36883	0.379714
like no women the sun	like no widows the sun	True	0.211042	0.410228
like all women the sun	like most maidens the sun	True	0.211042	0.345031
like all cowboys the sun	like most employees the sun	False	0.211042	0.845877
like all women the sun	like some cowboys the sun	False	0.211042	0.211042
like ten employees the sun	like some cowboys the sun	False	1.0	0.211042
like most women the sun	like most whores the sun	False	0.824113	0.386929
like ten laborers the sun	like some employees the sun	True	0.211042	0.704641
like ten employees the sun	like some movers the sun	False	1.0	0.463835
like all employees the sun	like most salesmen the sun	True	0.308668	0.313259
like all women the sun	like most ladies the sun	True	0.211042	0.283774
like all women the sun	like all housewives the sun	True	0.211042	0.96032
like few employees the sun	like few workmen the sun	False	1.0	0.211042
like most employees the sun	like some workmen the sun	False	0.845877	0.458851
